"CIK","Fund","Manager","Denomination","CIKs","URL"
"0001280043","Summitry","Colin Higgins","Summitry LLC","","https://summitry.com/"
"0001739439","Rockefeller Capital Management","Gregory Fleming","Rockefeller Capital Management L.P.","","https://www.rockco.com/"
"0001061768","Baupost Group","Seth Klarman","Baupost Group LLC/MA","","https://www.baupost.com/"
"0000814375","Donald Smith & Co","Donald Smith","Donald Smith & Co., Inc.","","https://www.donaldsmithandco.com/"
"0001423296","Zuckerman Investment Group","Sherwin Zuckerman","Zuckerman Investment Group, LLC","","https://zuckermaninvestmentgroup.com/"
"0001731029","Greencape","Jonathan Koh","Greencape Capital Pty Ltd","","https://www.greencapecapital.com.au/"
"0001314273","Avalon Global Asset Management","Nancy Kukacka","Avalon Global Asset Management LLC","","https://avalon-global.com/"
"0001589689","MYDA Advisors","Jason Lieber","MYDA Advisors LLC","","https://mydacapital.com/"
"0001756558","XN","Gaurav Kapadia","XN LP","","https://www.xnlp.com/"
"0001599383","The Windacre Partnership","Snehal Amin","The Windacre Partnership LLC","","http://www.windacre.com/"
"0000859804","Wedgewood Partners","David Rolfe","Wedgewood Partners Inc","","https://wedgewoodpartners.com/"
"0001509842","PointState Capital","Zach Schreiber","Pointstate Capital LP","","https://www.bcaresearch.com/marketing/zach-schreiber"
"0001510669","Contour Asset Management","David Meyer","Contour Asset Management LLC","","https://www.contourasset.com/"
"0001665241","Schonfeld Strategic Advisors","Steven Schonfeld","Schonfeld Strategic Advisors LLC","","https://www.schonfeld.com/"
"0001086762","Cobalt Capital Management","Wayne Cooperman","Cobalt Capital Management, L.P.","","http://www.cobaltcapital.com/"
"0001410830","Matrix Capital Management","David Goel","Matrix Capital Management Company, LP","","https://www.linkedin.com/company/matrix-capital-management-llc"
"0001484043","Ithaka Group","William Johnson","Ithaka Group LLC","","https://www.ithakagroup.com/"
"0001642575","Squarepoint","Maxime Fortin","Squarepoint Ops LLC","","https://www.squarepoint-capital.com/"
"0001910179","GHE LLC","Robert Hunt","GHE, LLC","","https://merc-invest.com/"
"0001274173","Janus Henderson Investors","Ali Dibadj","Janus Henderson Group PLC","","https://www.janushenderson.com/"
"0000354204","Dimensional Fund Advisors","David Booth","Dimensional Fund Advisors LP","","https://www.dimensional.com/"
"0001846677","Nellore Capital Management","Sakya Duvvuru","Nellore Capital Management LLC","","https://www.linkedin.com/company/nellore-capital-management/"
"0001698060","Gobi Capital","Thomas Tsao","Gobi Capital LLC","","https://gobi.vc/"
"0001389507","Discovery Capital Management","Robert Citrone","Discovery Capital Management, LLC","","https://discoverycapitalmanagement.com/"
"0001034524","Polen Capital","Stan Moss","Polen Capital Management, LLC","","https://www.polencapital.com/"
"0001802882","Harrell Investment Partners","Brian Harrell","Harrell Investment Partners, LLC","","https://harrellpartners.com/"
"0001954551","Warther Private Wealth","Robert Warther","Warther Private Wealth, LLC","","http://www.wartherprivatewealth.com/"
"0001574886","Teewinot Capital Advisers","Michael Moriarty","Teewinot Capital Advisers, L.L.C.","","https://teewinotfunds.com/"
"0001104883","Sirios Capital Management","John Brennan","Sirios Capital Management LP","","https://www.sirioslp.com/"
