CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
284902509,EGO,ELDORADO GOLD CORP NEW,17243,-421,350.72K,-8.56K,-2.4%,0.01%
90400P101,UGP,ULTRAPAR PARTICIPACOES SA,15320,-2619,50.25K,-8.59K,-14.6%,<.01%
268158201,DVAX,DYNAVAX TECHNOLOGIES CORP,37385,-868,370.86K,-8.61K,-2.3%,0.01%
644535106,NGD,NEW GOLD INC CDA,66415,-1752,328.75K,-8.67K,-2.6%,0.01%
858119100,STLD,STEEL DYNAMICS INC,3533,-68,452.26K,-8.7K,-1.9%,0.02%
681936100,OHI,OMEGA HEALTHCARE INVS INC,6177,-239,226.39K,-8.76K,-3.7%,<.01%
02376R102,AAL,AMERICAN AIRLS GROUP INC,15281,-789,171.45K,-8.85K,-4.9%,<.01%
92337F107,VCYT,VERACYTE INC,23084,-328,623.96K,-8.87K,-1.4%,0.02%
670346105,NUE,NUCOR CORP,5902,-69,764.54K,-8.94K,-1.2%,0.03%
06652K103,BKU,BANKUNITED INC,6712,-260,238.88K,-9.25K,-3.7%,<.01%
127097103,CTRA,COTERRA ENERGY INC,30551,-376,775.38K,-9.54K,-1.2%,0.03%
37247D106,GNW,GENWORTH FINL INC,17513,-1286,136.25K,-10.01K,-6.8%,<.01%
03770N101,APGE,APOGEE THERAPEUTICS INC,8981,-234,390.05K,-10.16K,-2.5%,0.01%
929160109,VMC,VULCAN MATLS CO,3371,-39,879.22K,-10.17K,-1.1%,0.03%
G0450A105,ACGL,ARCH CAP GROUP LTD,5242,-112,477.28K,-10.2K,-2.1%,0.02%
11777Q209,BTG,B2GOLD CORP,110770,-2827,399.88K,-10.21K,-2.5%,0.01%
693506107,PPG,PPG INDS INC,5808,-90,660.66K,-10.24K,-1.5%,0.02%
29444U700,EQIX,EQUINIX INC,1287,-13,1.02M,-10.34K,-1%,0.04%
59001A102,MTH,MERITAGE HOMES CORP,3031,-155,202.99K,-10.38K,-4.9%,<.01%
74969N103,RLX,RLX TECHNOLOGY INC,33299,-4722,73.59K,-10.44K,-12.4%,<.01%
197236102,COLB,COLUMBIA BKG SYS INC,9044,-452,211.45K,-10.57K,-4.8%,<.01%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,8941,-315,305.69K,-10.77K,-3.4%,0.01%
929328102,WSFS,WSFS FINL CORP,4762,-196,261.91K,-10.78K,-4%,<.01%
422704106,HL,HECLA MNG CO,63738,-1811,381.79K,-10.85K,-2.8%,0.01%
361448103,GATX,GATX CORP,1422,-71,218.36K,-10.9K,-4.8%,<.01%
382550101,GT,GOODYEAR TIRE & RUBR CO,10389,-1067,107.73K,-11.06K,-9.3%,<.01%
