CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
36317J209,GLXY,GALAXY DIGITAL INC.,23739,23739,802.62K,802.62K,NEW,0.01%
93148P102,WD,WALKER & DUNLOP INC,17572,9502,1.47M,794.56K,+117.7%,0.02%
500255104,KSS,KOHLS CORP,169821,51092,2.61M,785.28K,+43%,0.04%
11271J107,BN,BROOKFIELD CORP,11381,11381,780.51K,780.51K,NEW,0.01%
565394103,CART,MAPLEBEAR INC,20990,20990,771.59K,771.59K,NEW,0.01%
759509102,RS,RELIANCE INC,2998,2703,841.93K,759.08K,+916.3%,0.01%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,44212,44212,755.58K,755.58K,NEW,0.01%
87612G101,TRGP,TARGA RES CORP,4504,4504,754.6K,754.6K,NEW,0.01%
92939U106,WEC,WEC ENERGY GROUP INC,7425,6548,850.83K,750.34K,+746.6%,0.01%
22160N109,CSGP,COSTAR GROUP INC,8788,8788,741.44K,741.44K,NEW,0.01%
552953101,MGM,MGM RESORTS INTERNATIONAL,21367,21367,740.58K,740.58K,NEW,0.01%
912008109,USFD,US FOODS HLDG CORP,22568,9654,1.73M,739.69K,+74.8%,0.03%
18467V109,YOU,CLEAR SECURE INC,31552,22113,1.05M,738.13K,+234.3%,0.02%
723484101,PNW,PINNACLE WEST CAP CORP,8119,8119,727.95K,727.95K,NEW,0.01%
G0260P102,AS,AMER SPORTS INC,20835,20835,724.02K,724.02K,NEW,0.01%
917047102,URBN,URBAN OUTFITTERS INC,10003,10003,714.51K,714.51K,NEW,0.01%
624756102,MLI,MUELLER INDS INC,6999,6999,707.67K,707.67K,NEW,0.01%
69553P100,PD,PAGERDUTY INC,58815,42436,971.62K,701.04K,+259.1%,0.02%
075887109,BDX,BECTON DICKINSON & CO,7012,3733,1.31M,698.71K,+113.8%,0.02%
695156109,PKG,PACKAGING CORP AMER,3206,3206,698.68K,698.68K,NEW,0.01%
904311206,UA,UNDER ARMOUR INC,145673,144107,703.6K,696.04K,+9202.2%,0.01%
G51502105,JCI,JOHNSON CTLS INTL PLC,113130,6274,12.44M,689.83K,+5.9%,0.2%
M9T951109,ZIM,ZIM INTEGRATED SHIPPING SERV,99776,50828,1.35M,688.72K,+103.8%,0.02%
69366J200,PTCT,PTC THERAPEUTICS INC,11076,11076,679.73K,679.73K,NEW,0.01%
17888H103,CIVI,CIVITAS RESOURCES INC,77990,20501,2.53M,666.28K,+35.7%,0.04%
760125104,RTO,RENTOKIL INITIAL PLC,26290,26290,663.82K,663.82K,NEW,0.01%
963320106,WHR,WHIRLPOOL CORP,17738,8417,1.39M,661.58K,+90.3%,0.02%
40434L105,HPQ,HP INC,92924,24263,2.53M,660.68K,+35.3%,0.04%
69351T106,PPL,PPL CORP,17382,17382,645.91K,645.91K,NEW,0.01%
88033G407,THC,TENET HEALTHCARE CORP,3179,3179,645.46K,645.46K,NEW,0.01%
682680103,OKE,ONEOK INC NEW,13647,8838,995.82K,644.91K,+183.8%,0.02%
438128308,HMC,HONDA MOTOR LTD,33550,20850,1.03M,642.18K,+164.2%,0.02%
115637209,BF.B,BROWN FORMAN CORP,29954,23290,811.15K,630.69K,+349.5%,0.01%
824348106,SHW,SHERWIN WILLIAMS CO,6079,1792,2.1M,620.5K,+41.8%,0.03%
690370101,BBBY,BED BATH & BEYOND INC,85355,62588,835.62K,612.74K,+274.9%,0.01%
110448107,BTI,BRITISH AMERN TOB PLC,185140,11489,9.83M,609.84K,+6.6%,0.16%
268150109,DT,DYNATRACE INC,12508,12508,606.01K,606.01K,NEW,<.01%
244199105,DE,DEERE & CO,6361,1309,2.91M,598.55K,+25.9%,0.05%
03783C100,APPF,APPFOLIO INC,2161,2161,595.7K,595.7K,NEW,<.01%
78410G104,SBAC,SBA COMMUNICATIONS CORP NEW,3069,3069,593.39K,593.39K,NEW,<.01%
952845105,WFG,WEST FRASER TIMBER CO LTD,8724,8724,593.06K,593.06K,NEW,<.01%
26701L100,BROS,DUTCH BROS INC,11297,11297,591.28K,591.28K,NEW,<.01%
58506Q109,MEDP,MEDPACE HLDGS INC,1137,1137,584.6K,584.6K,NEW,<.01%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,1595,1252,727.32K,570.91K,+365%,0.01%
74834L100,DGX,QUEST DIAGNOSTICS INC,2958,2958,563.74K,563.74K,NEW,<.01%
500754106,KHC,KRAFT HEINZ CO,21476,21476,559.24K,559.24K,NEW,<.01%
984245100,YPF,YPF SOCIEDAD ANONIMA,27773,22907,674.61K,556.41K,+470.8%,0.01%
82846H405,QXO,QXO INC,28783,28783,548.6K,548.6K,NEW,<.01%
253868103,DLR,DIGITAL RLTY TR INC,3162,3162,546.65K,546.65K,NEW,<.01%
00214Q302,ARKG,ARK ETF TR,27814,19488,772.39K,541.18K,+234.1%,0.01%
55261F104,MTB,M & T BK CORP,2709,2709,535.35K,535.35K,NEW,<.01%
89055F103,BLD,TOPBUILD CORP,1345,1345,525.71K,525.71K,NEW,<.01%
292671708,UUUU,ENERGY FUELS INC,33723,33723,517.65K,517.65K,NEW,<.01%
02390A101,AMX,AMERICA MOVIL SAB DE CV,51113,24563,1.07M,515.82K,+92.5%,0.02%
45245E109,IMAX,IMAX CORP,15741,15741,515.52K,515.52K,NEW,<.01%
829073105,SSD,SIMPSON MFG INC,3067,3067,513.6K,513.6K,NEW,<.01%
98585X104,YETI,YETI HLDGS INC,15383,15383,510.41K,510.41K,NEW,<.01%
Y27183600,GSL,GLOBAL SHIP LEASE INC NEW,17024,16558,522.64K,508.33K,+3553.2%,<.01%
632307104,NTRA,NATERA INC,3113,3113,501.1K,501.1K,NEW,<.01%
80105N105,SNY,SANOFI SA,18632,10578,879.43K,499.28K,+131.3%,0.01%
74736L109,QTWO,Q2 HLDGS INC,6730,6730,487.19K,487.18K,NEW,<.01%
452308109,ITW,ILLINOIS TOOL WKS INC,1863,1863,485.8K,485.8K,NEW,<.01%
75134P600,METC,RAMACO RES INC,29970,14089,994.7K,467.61K,+88.7%,0.02%
30225T102,EXR,EXTRA SPACE STORAGE INC,4587,3296,646.49K,464.54K,+255.3%,0.01%
592688105,MTD,METTLER TOLEDO INTERNATIONAL,1574,376,1.93M,461.58K,+31.4%,0.03%
90041L105,TPB,TURNING PT BRANDS INC,8107,4643,801.46K,459.01K,+134%,0.01%
68278B107,OS,ONESTREAM INC,24470,24470,450.98K,450.98K,NEW,<.01%
620076307,MSI,MOTOROLA SOLUTIONS INC,984,984,449.97K,449.97K,NEW,<.01%
833034101,SNA,SNAP ON INC,1272,1272,440.79K,440.79K,NEW,<.01%
044186104,ASH,ASHLAND INC,14867,9167,712.28K,439.19K,+160.8%,0.01%
26856L103,ELF,E L F BEAUTY INC,3225,3225,427.25K,427.25K,NEW,<.01%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,10690,4240,1.07M,423.19K,+65.7%,0.02%
88322Q108,TGTX,TG THERAPEUTICS INC,27221,11617,983.36K,419.66K,+74.4%,0.02%
589400100,MCY,MERCURY GENL CORP NEW,6976,4805,591.42K,407.37K,+221.3%,<.01%
549498202,LCID,LUCID GROUP INC,16901,16901,402.07K,402.07K,NEW,<.01%
913903100,UHS,UNIVERSAL HLTH SVCS INC,11599,1950,2.37M,398.66K,+20.2%,0.04%
89400J107,TRU,TRANSUNION,9439,4673,790.8K,391.5K,+98%,0.01%
29977A105,EVR,EVERCORE INC,1158,1158,390.62K,390.62K,NEW,<.01%
09739D100,BCC,BOISE CASCADE CO DEL,4980,4980,385.05K,385.05K,NEW,<.01%
61559X104,MLTX,MOONLAKE IMMUNOTHERAPEUTICS,53700,53700,385.03K,385.03K,NEW,<.01%
74340W103,PLD,PROLOGIS INC.,3357,3357,384.44K,384.44K,NEW,<.01%
12047B105,BMBL,BUMBLE INC,80910,62178,492.74K,378.66K,+331.9%,<.01%
55955D100,MGNI,MAGNITE INC,17280,17280,376.36K,376.36K,NEW,<.01%
316841105,FIG,FIGMA INC,7182,7182,372.53K,372.53K,NEW,<.01%
