CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
343389409,FTK,FLOTEK INDS INC DEL,0,-17544,0,-258.95K,CLOSE,0%
46438R105,ETHA,ISHARES ETHEREUM TR,0,-13585,0,-259.07K,CLOSE,0%
464287838,IYM,ISHARES TR,0,-1872,0,-262.1K,CLOSE,0%
74347Y748,BOIL,PROSHARES TR II,0,-6028,0,-277.77K,CLOSE,0%
74347Y813,KOLD,PROSHARES TR II,0,-10883,0,-278.71K,CLOSE,0%
46434G764,EMXC,ISHARES INC,0,-4657,0,-294.04K,CLOSE,0%
464287846,IYY,ISHARES TR,9173,-1839,1.49M,-298.8K,-16.7%,0.12%
301505475,NUKZ,EXCHANGE TRADED CONCEPTS TRU,0,-5311,0,-300.39K,CLOSE,0%
26923Q721,GMEU,ETF OPPORTUNITIES TRUST,1811,-16926,32.44K,-303.14K,-90.3%,<.01%
78468R663,BIL,SPDR SERIES TRUST,0,-3587,0,-329.04K,CLOSE,0%
042068205,ARM,ARM HOLDINGS PLC,0,-2037,0,-329.46K,CLOSE,0%
25459W458,SOXL,DIREXION SHS ETF TR,14335,-9496,499.43K,-330.84K,-39.8%,0.04%
88636R867,SMCY,TIDAL TR II,0,-15682,0,-332.62K,CLOSE,0%
25460E232,TZA,DIREXION SHS ETF TR,0,-28769,0,-341.2K,CLOSE,0%
25459W847,TNA,DIREXION SHS ETF TR,0,-10258,0,-344.05K,CLOSE,0%
37960A735,BKCH,GLOBAL X FDS,0,-6600,0,-347.69K,CLOSE,0%
74933W551,UTHY,RBB FD INC,0,-8794,0,-367.85K,CLOSE,0%
06748M196,VXX,BARCLAYS BANK PLC,0,-7968,0,-382.86K,CLOSE,0%
44852D108,HUYA,HUYA INC,3230,-119728,10.76K,-398.7K,-97.4%,<.01%
26923N389,ROBN,ETF OPPORTUNITIES TRUST,2808,-3775,302.62K,-406.83K,-57.3%,0.02%
92189F601,NLR,VANECK ETF TRUST,2827,-3077,383.48K,-417.4K,-52.1%,0.03%
921910709,EDV,VANGUARD WORLD FD,0,-6400,0,-430.72K,CLOSE,0%
82889N657,TUA,SIMPLIFY EXCHANGE TRADED FUN,0,-19701,0,-434.01K,CLOSE,0%
98148L753,BTCL,WORLD FDS TR,7917,-8127,444.86K,-456.66K,-50.7%,0.04%
00835Q202,AEVA,AEVA TECHNOLOGIES INC,0,-12231,0,-462.21K,CLOSE,0%
26923N280,RBLU,ETF OPPORTUNITIES TRUST,78,-5811,7.75K,-577.45K,-98.7%,<.01%
26923N827,TSLZ,ETF OPPORTUNITIES TRUST,0,-377260,0,-622.48K,CLOSE,0%
46141D104,UDN,INVESCO DB US DLR INDEX TR,13956,-33890,262.65K,-637.81K,-70.8%,0.02%
26922A420,QTUM,ETF SER SOLUTIONS,0,-7503,0,-688.89K,CLOSE,0%
25461A478,DUST,DIREXION SHS ETF TR,0,-28490,0,-702.85K,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,0,-4553,0,-802.38K,CLOSE,0%
25461A833,NVDU,DIREXION SHS ETF TR,3859,-6143,506.03K,-805.53K,-61.4%,0.04%
38747R728,CONI,GRANITESHARES ETF TR,0,-353049,0,-850.85K,CLOSE,0%
25460G138,TMF,DIREXION SHS ETF TR,0,-22232,0,-872.38K,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC,0,-2547,0,-892.7K,CLOSE,0%
46432F396,MTUM,ISHARES TR,0,-4210,0,-1.01M,CLOSE,0%
770700102,HOOD,ROBINHOOD MKTS INC,0,-10854,0,-1.02M,CLOSE,0%
92189F791,GDXJ,VANECK ETF TRUST,0,-15346,0,-1.04M,CLOSE,0%
433000106,HIMS,HIMS & HERS HEALTH INC,8240,-20995,467.37K,-1.19M,-71.8%,0.04%
92189F106,GDX,VANECK ETF TRUST,0,-23209,0,-1.21M,CLOSE,0%
37950E259,ARGT,GLOBAL X FDS,0,-21033,0,-1.78M,CLOSE,0%
88636R248,HIMZ,TIDAL TRUST II,2714,-91399,61.2K,-2.06M,-97.1%,<.01%
30303M102,META,META PLATFORMS INC,21382,-3229,15.7M,-2.37M,-13.1%,1.3%
85210B201,SGDJ,SPROTT ETF TRUST,3585,-35086,257.37K,-2.52M,-90.7%,0.02%
74348A814,RINF,PROSHARES TR,0,-81836,0,-2.68M,CLOSE,0%
003262102,PALL,ABRDN PALLADIUM ETF TRUST,0,-28907,0,-2.91M,CLOSE,0%
464287234,EEM,ISHARES TR,0,-83356,0,-4.02M,CLOSE,0%
464287465,EFA,ISHARES TR,5241,-52514,489.35K,-4.9M,-90.9%,0.04%
46428Q109,SLV,ISHARES SILVER TR,0,-186270,0,-6.11M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,388626,-62292,62.88M,-10.08M,-13.8%,5%
003260106,PPLT,ABRDN PLATINUM ETF TRUST,0,-87902,0,-10.8M,CLOSE,0%
86800U302,SMCI,SUPER MICRO COMPUTER INC,456316,-463642,21.88M,-22.23M,-50.4%,1.8%
464287655,IWM,ISHARES TR,90630,-93765,21.93M,-22.69M,-50.9%,1.8%
67066G104,NVDA,NVIDIA CORPORATION,931960,-175381,173.89M,-32.72M,-15.8%,14%
78463V107,GLD,SPDR GOLD TR,0,-110487,0,-33.68M,CLOSE,0%
92189F676,SMH,VANECK ETF TRUST,0,-378298,0,-105.5M,CLOSE,0%
594972408,MSTR,STRATEGY INC,88649,-850502,28.56M,-274.04M,-90.6%,2.3%
Total,,,,,1.25B,-31.78M,-2.5%,100%
