CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
254687106,DIS,DISNEY WALT CO,8500,-4541,838.95K,-448.2K,-34.8%,0.53%
57636Q104,MA,MASTERCARD INCORPORATED,4200,-865,2.3M,-474.12K,-17.1%,1.5%
478160104,JNJ,JOHNSON & JOHNSON,4850,-2970,804.32K,-492.54K,-38%,0.51%
835699307,SONY,SONY GROUP CORP,7000,-21425,177.73K,-543.98K,-75.4%,0.11%
855244109,SBUX,STARBUCKS CORP,8000,-6050,784.72K,-593.44K,-43.1%,0.5%
38141G104,GS,GOLDMAN SACHS GROUP INC,2550,-1091,1.39M,-596K,-30%,0.88%
244199105,DE,DEERE & CO,2750,-1338,1.29M,-627.99K,-32.7%,0.82%
060505104,BAC,BANK AMERICA CORP,36100,-15179,1.51M,-633.42K,-29.6%,0.96%
852312305,STAA,STAAR SURGICAL CO,3500,-36000,61.7K,-634.68K,-91.1%,0.04%
98980G102,ZS,ZSCALER INC,2400,-4100,476.21K,-813.52K,-63.1%,0.3%
191216100,KO,COCA COLA CO,19000,-11933,1.36M,-854.64K,-38.6%,0.86%
02079K305,GOOGL,ALPHABET INC,42400,-6138,6.56M,-949.18K,-12.6%,4.2%
037833100,AAPL,APPLE INC,17380,-6355,3.86M,-1.41M,-26.8%,2.5%
82509L107,SHOP,SHOPIFY INC,2150,-14900,205.13K,-1.42M,-87.4%,0.13%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,6600,-12011,1.37M,-2.49M,-64.5%,0.87%
Total,,,,,157.47M,1.44M,+0.8%,100%
